Binário,Char,6T
1110110.0,v,--+0++
1110111.0,w,--++0+
1111000.0,x,--+++0
1111001.0,y,--0+++
1111010.0,z,-0-+++
1111011.0,{,0--+++
1111100.0,|,0--0++
1111101.0,},+--0++
1111110.0,~,-000++
1111111.0,Del,0+++--
10000000.0,Ç,0++-00
10000001.0,ü,0++0-0
10000010.0,é,+0+-00
10000011.0,â,+0+0-0
10000100.0,ä,+0+00-
10000101.0,à,0++00-
10000110.0,å,++0-00
10000111.0,ç,++00-0
10001000.0,ê,++000-
10001001.0,ë,0++-+-
10001010.0,è,+0++--
10001011.0,ï,+0+-+-
10001100.0,î,+0+--+
10001101.0,ì,0++--+
10001110.0,Ä,++0+--
10001111.0,Å,++0-+-
10010000.0,É,++0--+
10010001.0,æ,000++-
10010010.0,Æ,000+-+
10010011.0,ô,000-++
10010100.0,ö,000+00
10010101.0,ò,000+0-
10010110.0,û,000+-0
10010111.0,ù,000-0+
10011000.0,ÿ,000-+0
10011001.0,Ö,+++--0
10011010.0,Ü,+++-0-
10011011.0,ø,+++0--
10011100.0,£,0++0--
10011101.0,Ø,-00-++
10011110.0,×,-00+00
10011111.0,ƒ,+---++
10100000.0,á,+--+00
10100001.0,ù,-00+-+
10100010.0,ó,0-0-++
10100011.0,ú,0-0+-+
10100100.0,ñ,0-0++-
10100101.0,Ñ,-00++-
10100110.0,ª,00--++
10100111.0,º,00-+-+
10101000.0,¿,00-++-
10101001.0,®,-000+0
10101010.0,¬,0-0+00
10101011.0,½,0-00+0
10101100.0,¼,0-000+
10101101.0,¡,-0000+
10101110.0,«,00-+00
10101111.0,»,00-0+0
10110000.0,░,00-00+
10110001.0,▒,+--+-+
10110010.0,▓,-+--++
10110011.0,│,-+-+-+
10110100.0,┤,-+-++-
10110101.0,Á,+--++-
10110110.0,Â,--+-++
10110111.0,À,--++-+
10111000.0,©,--+++-
10111001.0,╣,+--0+0
10111010.0,║,-+-+00
10111011.0,╗,-+-0+0
10111100.0,╝,-+-00+
10111101.0,¢,+--00+
10111110.0,¥,--++00
10111111.0,┐,--+0+0
11000000.0,└,--+00+
11000001.0,┴,-++0-0
11000010.0,┬,+-+-00
11000011.0,├,+-+0-0
11000100.0,─,+-+00-
11000101.0,┼,-++00-
11000110.0,ã,++--00
11000111.0,Ã,++-0-0
11001000.0,╚,++-00-
11001001.0,╔,-++-+-
11001010.0,╩,+-++--
11001011.0,╦,+-+-+-
11001100.0,╠,+-+--+
11001101.0,═,-++--+
11001110.0,╬,++-+--
11001111.0,¤,++--+-
11010000.0,ð,++---+
11010001.0,Ð,+000-0
11010010.0,Ê,0+0-00
11010011.0,Ë,0+00-0
11010100.0,È,0+000-
11010101.0,ı,+0000-
11010110.0,Í,00+-00
11010111.0,Î,00+0-0
11011000.0,Ï,00+00-
11011001.0,┘,+00-+-
11011010.0,┌,0+0+--
11011011.0,█,0+0-+-
11011100.0,▄,0+0--+
11011101.0,¦,+00--+
11011110.0,Ì,00++--
11011111.0,▀,00+-+-
11100000.0,Ó,00+--+
11100001.0,ß,-+0+-+
11100010.0,Ô,0-+-++
11100011.0,Ò,0-++-+
11100100.0,õ,0-+++-
11100101.0,Õ,-+0++-
11100110.0,µ,+0--++
11100111.0,þ,+0-+-+
11101000.0,Þ,+0-++-
11101001.0,Ú,-+00+0
11101010.0,Û,0-++00
11101011.0,Ù,0-+0+0
11101100.0,ý,0-+00+
11101101.0,Ý,-+000+
11101110.0,¯,+0-+00
11101111.0,´,+0-0+0
11110000.0,­­,+0-00+
11110001.0,±,+-0+-+
11110010.0,‗,0+--++
11110011.0,¾,0+-+-+
11110100.0,¶,0+-++-
11110101.0,§,+-0++-
11110110.0,÷,-0+-++
11110111.0,¸,-0++-+
11111000.0,°,-0+++-
11111001.0,¨,+-00+0
11111010.0,·,0+-+00
11111011.0,¹,0+-0+0
11111100.0,³,0+-00+
11111101.0,²,+-000+
11111110.0,■,-0++00
11111111.0,■,-0+0+0
11111111.1,■,-0+00+
11111111.2,■,-++0-+
11111111.3,■,+-+-+0
11111111.4,■,+-+0-+
11111111.5,■,+-++0-
11111111.6,■,-+++0-
11111111.7,■,++--+0
11111111.8,■,++-0-+
11111111.9,■,++-+0-
11111111.10,■,-++0+-
11111111.11,■,+-++-0
11111111.12,■,+-+0+-
11111111.13,■,+-+-0+
11111111.14,■,-++-0+
11111111.15,■,++-+-0
11111111.16,■,++-0+-
11111111.17,■,++--0+
11111111.18,■,+000-+
11111111.19,■,0+0-+0
11111111.20,■,0+00-+
11111111.21,■,0+0+0-
11111111.22,■,+00+0-
11111111.23,■,00+-+0
11111111.24,■,00+0-+
11111111.25,■,00++0-
11111111.26,■,+000+-
11111111.27,■,0+0+-0
11111111.28,■,0+00+-
11111111.29,■,0+0-0+
11111111.30,■,+00-0+
11111111.31,■,00++-0
11111111.32,■,00+0+-
11111111.33,■,00+-0+
